index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
44,1.77,-15.5,2.2,-4.8,-19.3,1.7,-4.2,1,0.1,-0.1,0.882664824,0.581038635,0.489097646,0.507938713,0.558892176,122.7830392,325.0807761,211.7317557,117.8845133,122.7830392,77.71782624,1.373829783,0.265749404,12,-0.534426852,-4.111950871,18.3032759,12,0.060016997,-0.295716919,6.941806149,0.049536987,0.318019496,-0.946789146,0.686914891,1.894436126,-1.518522957,301.8969757,100.7129372,812.9692237,812.9692237,44,1.77
45,1.8,-15.5,2.2,-4.8,-19.2,1.7,-4.2,1,0.1,-0.1,0.855243271,0.580400471,0.48908144,0.508154979,0.55881322,123.5207824,325.2191866,211.7696543,118.584274,123.5207824,77.64938865,1.382130637,0.251650451,12,-0.534426852,-4.111950871,18.3032759,12,0.061614051,-0.295052767,6.942112928,0.049670075,0.318074842,-0.946763581,0.691065319,1.894494504,-1.518381361,301.8969757,100.7129372,812.9692237,812.9692237,45,1.8
46,1.83,-15.5,2.2,-4.8,-19.1,1.7,-4.2,1,0.1,-0.1,0.911145901,0.579874602,0.490314414,0.508329844,0.558118005,123.7112299,325.3311003,212.1033577,118.7321293,123.7112299,77.63751294,1.384521606,0.255998594,12,-0.534426852,-4.111950871,18.3032759,12,0.062894148,-0.291292548,6.943444142,0.04977675,0.318388194,-0.946652647,0.692260803,1.894825039,-1.518262854,301.8969757,100.7129372,812.9692237,812.9692237,46,1.83
47,1.86,-15.5,2.1,-4.8,-19,1.7,-4.2,1,0.1,-0.1,1,0.576166991,0.48707767,0.509586376,0.559248532,124.6989375,326.1352805,211.5607044,119.6016737,124.6989375,78.36166406,1.560757828,0.282190011,12,-0.464084166,-4.196137879,19.11331225,12,0.080125969,-0.331943158,7.765544428,0.045350845,0.322016227,-0.945647318,0.780378914,1.89865471,-1.522875581,304.9459801,103.8851576,778.5149851,778.5149851,47,1.86
48,1.9,-12.7,3.6,-4.5,-19,1.7,-4.2,1,0.1,-0.1,0.058506731,0.368813903,0.913767891,0.56905904,0.360414672,159.0602692,364.1977858,307.0009576,134.20349,159.0602692,74.76897027,2.130808285,0.282190011,12,-0.464084166,-4.196137879,19.11331225,12,0.602499081,0.949393675,8.325082309,0.088881937,0.428794296,-0.899019162,1.065404142,2.013954054,-1.472251113,304.9459801,103.8851576,778.5149851,778.5149851,48,1.9
49,1.93,-15.8,1.1,-4.2,-18.9,1.7,-4.2,1,0.1,-0.1,0.058372205,0.341969915,0.16216046,0.555583823,0.69314011,176.7954818,355.5736467,147.292747,172.1881679,176.7954818,32.77414809,2.128900628,0.274751012,12,-0.464084166,-4.196137879,19.11331225,12,0.443931152,-1.091087556,7.557613624,0.075667943,0.258754194,-0.962974885,1.064450314,1.832528576,-1.492380177,304.9459801,103.8851576,778.5149851,778.5149851,49,1.93
50,1.96,-9.3,2.1,-5,-18.8,1.7,-4.3,1,0.1,-0.1,1,0.393525566,0.262308823,0.551990917,0.646870854,132.0933842,353.2741869,169.5019899,128.4374165,132.0933842,47.23804747,1.613447343,0.275353655,12,-0.464084166,-4.196137879,19.11331225,12,0.414809907,-0.843346007,7.624781799,0.073241173,0.279399323,-0.957377537,0.806723671,1.853964787,-1.494443177,304.9459801,103.8851576,778.5149851,778.5149851,50,1.96
51,2.0,-9.3,2.1,-5,-18.8,1.7,-4.3,1,0.1,-0.1,1,0.394792879,0.269688963,0.552241151,0.643259142,131.5700455,353.4343365,171.2356119,127.8461077,131.5700455,48.25695709,1.608771209,0.290412128,12,-0.464084166,-4.196137879,19.11331225,12,0.417082837,-0.822753382,7.630985752,0.073430584,0.281115375,-0.956860541,0.804385604,1.855752482,-1.494205289,304.9459801,103.8851576,778.5149851,778.5149851,51,2.0
52,2.03,-9.3,2.1,-5,-18.7,1.7,-4.3,1,0.1,-0.1,0.961098645,0.394173789,0.275238316,0.552818412,0.640356947,130.2828238,353.8037837,172.6286653,126.5083684,130.2828238,48.96663183,1.594355816,0.291998517,12,-0.464084166,-4.196137879,19.11331225,12,0.421828576,-0.806514475,7.636134381,0.073826062,0.282468617,-0.956431489,0.797177908,1.85716288,-1.493760008,304.9459801,103.8851576,778.5149851,778.5149851,52,2.03
53,2.07,-9.3,2.1,-5,-18.7,1.7,-4.3,1,0.1,-0.1,1,0.391345466,0.282001381,0.554039489,0.636571462,130.4185206,354.5852731,174.4456982,126.4964183,130.4185206,49.77142453,1.597740183,0.302378943,12,-0.464084166,-4.196137879,19.11331225,12,0.431925159,-0.784704793,7.643382362,0.074667444,0.28428609,-0.95582749,0.798870091,1.859058039,-1.492836534,304.9459801,103.8851576,778.5149851,778.5149851,53,2.07
54,2.11,-9.3,2.1,-5,-18.7,1.7,-4.3,1,0.1,-0.1,1,0.387825429,0.286277385,0.555245765,0.63396917,130.9697382,355.3572898,175.6947982,126.9100425,130.9697382,50.22229197,1.605670062,0.299360069,12,-0.464084166,-4.196137879,19.11331225,12,0.441846743,-0.769554464,7.64867901,0.075494242,0.285548618,-0.955386103,0.802835031,1.860375159,-1.491940567,304.9459801,103.8851576,778.5149851,778.5149851,54,2.11
